City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
232,Juneau,US,2023-01-28 17:54:26,58.3019,-134.4197,31.21,100,4,8.61
233,Kerema,PG,2023-01-28 17:54:26,-7.9631,145.7785,77.83,88,99,4.81
234,Rio Grande,BR,2023-01-28 17:54:27,-32.035,-52.0986,81.68,69,79,12.26
235,Pinega,RU,2023-01-28 17:54:27,64.7001,43.3936,23.09,88,100,12.93
236,Saskylakh,RU,2023-01-28 17:54:27,71.9167,114.0833,-41.28,100,97,3.22
237,Phalaborwa,ZA,2023-01-28 17:54:28,-23.943,31.1411,94.28,32,32,5.44
238,Panaba,MX,2023-01-28 17:54:28,21.2833,-88.2667,77.95,74,48,10.02
239,Noyabrsk,RU,2023-01-28 17:54:28,63.1994,75.4507,1.89,96,82,8.77
240,Kattivakkam,IN,2023-01-28 17:54:28,13.2167,80.3167,78.89,73,24,7.96
241,Diffa,NE,2023-01-28 17:54:29,13.3154,12.6113,84.43,10,50,7.94
242,Orlik,RU,2023-01-28 17:54:29,52.5178,99.825,6.69,88,99,5.46
243,Ouesso,CG,2023-01-28 17:54:29,1.6136,16.0517,80.82,52,94,1.19
244,Antalaha,MG,2023-01-28 17:54:30,-14.9003,50.2788,77.83,92,59,3.98
245,Gushikawa,JP,2023-01-28 17:54:30,26.3544,127.8686,52.83,81,100,0.0
246,Lorengau,PG,2023-01-28 17:54:30,-2.0226,147.2712,80.6,81,43,5.64
247,Faanui,PF,2023-01-28 17:54:31,-16.4833,-151.75,81.36,70,11,16.73
248,Mosquera,CO,2023-01-28 17:52:20,4.7059,-74.2302,66.29,48,20,6.91
249,Luderitz,NA,2023-01-28 17:52:14,-26.6481,15.1594,71.69,63,0,26.84
250,Picos,BR,2023-01-28 17:52:35,-7.0769,-41.4669,91.8,37,55,5.68
251,Atambua,ID,2023-01-28 17:54:31,-9.1061,124.8925,74.14,88,92,0.74
252,Livramento,BR,2023-01-28 17:54:31,-3.0254,-60.1803,84.88,70,75,2.3
253,Dikson,RU,2023-01-28 17:54:32,73.5069,80.5464,-13.31,96,99,7.11
254,Touros,BR,2023-01-28 17:54:32,-5.1989,-35.4608,85.37,53,8,17.11
255,Mirnyy,RU,2023-01-28 17:54:32,62.5353,113.9611,-35.81,100,98,2.15
256,Poum,NC,2023-01-28 17:54:33,-20.2333,164.0167,79.52,80,100,7.81
257,Bozeman,US,2023-01-28 17:51:11,45.6796,-111.0386,10.89,79,100,8.99
258,Komsomolskiy,UZ,2023-01-28 17:51:29,40.4272,71.7189,30.92,74,100,2.3
259,Sayat,TM,2023-01-28 17:54:33,38.7839,63.8803,31.87,64,94,6.42
260,Bukavu,CD,2023-01-28 17:54:33,-2.5083,28.8608,62.87,86,7,0.18
261,Wajir,KE,2023-01-28 17:54:34,1.7471,40.0573,93.16,24,0,4.61
262,Alagoinhas,BR,2023-01-28 17:54:34,-12.1356,-38.4192,90.79,38,63,10.89
263,Khani,GE,2023-01-28 17:54:34,41.9563,42.9566,38.77,70,100,3.2
264,Pimenteiras,BR,2023-01-28 17:54:34,-6.2453,-41.4192,88.2,46,55,2.8
265,Ariquemes,BR,2023-01-28 17:54:35,-9.9133,-63.0408,76.1,88,99,3.67
266,Jiuquan,CN,2023-01-28 17:54:35,39.7432,98.5174,13.12,55,3,4.05
267,Hami,CN,2023-01-28 17:54:35,42.8,93.45,17.74,33,0,1.52
268,Surt,LY,2023-01-28 17:53:53,31.2089,16.5887,58.26,32,0,6.8
269,Golden,US,2023-01-28 17:54:36,39.7555,-105.2211,36.34,68,75,7.0
270,Waingapu,ID,2023-01-28 17:54:36,-9.6567,120.2641,78.78,86,100,5.99
271,Najran,SA,2023-01-28 17:54:36,17.4924,44.1277,57.85,65,4,5.44
272,Baykit,RU,2023-01-28 17:54:37,61.67,96.37,-3.08,100,99,0.89
273,Waddan,LY,2023-01-28 17:54:37,29.1614,16.139,54.36,26,0,7.0
274,Hambantota,LK,2023-01-28 17:54:37,6.1241,81.1185,76.24,75,100,7.43
275,Ashland,US,2023-01-28 17:54:37,40.8167,-82.2665,38.41,65,100,7.85
276,Gizo,SB,2023-01-28 17:55:38,-8.103,156.8419,81.86,74,72,4.92
277,Lower Hutt,NZ,2023-01-28 17:55:38,-41.2167,174.9167,65.84,55,75,1.14
278,Verkhniy Rohachyk,UA,2023-01-28 17:55:38,47.2505,34.338,32.56,89,100,6.82
279,Yorkton,CA,2023-01-28 17:55:39,51.2167,-102.4677,-11.36,77,0,14.97
280,Richards Bay,ZA,2023-01-28 17:55:39,-28.783,32.0377,74.84,90,0,2.71
281,Milici,BA,2023-01-28 17:55:39,44.1711,19.0903,29.57,99,100,1.66
282,Acapulco,MX,2023-01-28 17:55:40,16.8634,-99.8901,84.61,48,1,6.55
283,Sept-Iles,CA,2023-01-28 17:55:40,50.2001,-66.3821,26.06,93,100,13.8
284,Swan River,CA,2023-01-28 17:54:31,52.1058,-101.2676,-14.91,70,38,12.66
285,Brainerd,US,2023-01-28 17:55:40,46.358,-94.2008,-0.74,85,97,5.84
286,Petatlan,MX,2023-01-28 17:55:40,17.5167,-101.2667,88.2,31,3,5.79
287,Coyah,GN,2023-01-28 17:55:41,9.75,-13.4167,83.44,59,46,9.01
288,Vardo,NO,2023-01-28 17:55:41,70.3705,31.1107,32.88,95,99,11.65
289,Tilichiki,RU,2023-01-28 17:55:42,60.4667,166.1,26.82,94,100,8.59
290,Racine,US,2023-01-28 17:55:42,42.7495,-88.0751,22.05,83,100,1.99
291,Pisco,PE,2023-01-28 17:51:48,-13.7,-76.2167,75.25,78,0,10.36
292,Wichita Falls,US,2023-01-28 17:55:42,33.9137,-98.4934,59.25,61,53,21.99
